County,AG.BobFerguson,AG.ReaganDunn,Auditor.JamesWatkins,Auditor.TroyKelley,CommPubLand.ClintDidier,CommPubLand.PeterGoldmark,Govnr.JayInslee,Govnr.RobMcKenna,Init1185.No,Init1185.Yes,Init1240.No,Init1240.Yes,Init502.No,Init502.Yes,Init74.Approved,Init74.Rejected,InsCommiss.JohnAdams,InsCommiss.MikeKreidler,JR8221.Approved,JR8221.Rejected,JR8223.Approved,JR8223.Rejected,LtGovnr.BillFinkbeiner,LtGovnr.BradOwen,President.BarackObama,President.Mitt Romney,SecOfState.KathleenDrew,SecOfState.KimWyman,Senator.MariaCantwell,Senator.MichaelBaumgartner,Trsr.JimMcIntire,Trsr.SharonHanek,WSA1.Maintained,WSA1.Repealed,WSA2.Maintained,WSA2.Repealed
Adams,30.6294,69.3706,69.5298,30.4702,65.9798,34.0202,29.78,70.22,28.1189,71.8811,52.8233,47.1767,60.6183,39.3817,28.1389,71.8611,66.5064,33.4936,63.1543,36.8457,37.254,62.746,64.6225,35.3775,32.1302,66.159,28.0632,71.9368,39.294,60.706,35.7255,64.2745,28.0188,71.9812,33.1778,66.8222
Asotin,41.681,58.319,58.9305,41.0695,53.928,46.072,41.4984,58.5016,27.9535,72.0465,56.9317,43.0683,51.0045,48.9955,36.9795,63.0205,56.6086,43.3914,65.4709,34.5291,39.4871,60.5129,55.0944,44.9056,40.4303,57.1053,39.9957,60.0043,46.7712,53.2288,44.6378,55.3622,29.657,70.343,32.3015,67.6985
Benton,31.9232,68.0768,65.8022,34.1978,65.5167,34.4833,34.9669,65.0331,26.174,73.826,48.87,51.13,56.4103,43.5897,36.7928,63.2072,60.6851,39.3149,64.4001,35.5999,39.6584,60.3416,59.9872,40.0128,35.3763,62.169,32.0045,67.9955,42.6891,57.3109,41.5784,58.4216,33.7916,66.2084,35.7452,64.2548
Chelan,39.7696,60.2304,62.6412,37.3588,56.9228,43.0772,36.4058,63.5942,27.0209,72.9791,46.159,53.841,48.1463,51.8537,42.627,57.373,57.601,42.399,69.7724,30.2276,41.8435,58.1565,58.8409,41.1591,40.6574,57.0605,35.6473,64.3527,46.9779,53.0221,44.4131,55.5869,37.0364,62.9636,39.21,60.79
Clallam,49.6045,50.3955,53.7887,46.2113,48.3704,51.6296,46.6633,53.3367,30.0309,69.9691,46.1605,53.8395,45.074,54.926,47.5084,52.4916,47.5346,52.4654,63.5384,36.4616,38.7069,61.2931,47.9783,52.0217,48.81,48.4343,44.9087,55.0913,53.8861,46.1139,54.6189,45.3811,37.2698,62.7302,39.2575,60.7425
Clark,46.5787,53.4213,53.1486,46.8514,47.3255,52.6745,46.9169,53.0831,29.6135,70.3865,47.6698,52.3302,50.3219,49.6781,47.3956,52.6044,49.5341,50.4659,63.0254,36.9746,39.0635,60.9365,51.2277,48.7723,48.9411,48.7152,44.9361,55.0639,53.046,46.954,52.5987,47.4013,36.4106,63.5894,40.4245,59.5755
Columbia,28.8635,71.1365,71.674,28.326,65.9016,34.0984,29.5362,70.4638,28.2063,71.7937,50.7074,49.2926,54.3161,45.6839,32.1523,67.8477,66.5017,33.4983,58.5644,41.4356,35.1141,64.8859,64.3094,35.6906,28.5525,69.4112,26.7176,73.2824,36.9692,63.0308,36.43,63.57,29.1082,70.8918,32.1301,67.8699
Cowlitz,50.6702,49.3298,49.6354,50.3646,45.9406,54.0594,48.2124,51.7876,29.0034,70.9966,52.5606,47.4394,53.6549,46.3451,41.9816,58.0184,46.8518,53.1482,59.3772,40.6228,33.8776,66.1224,47.037,52.963,50.9323,46.4948,47.7935,52.2065,56.4219,43.5781,54.7574,45.2426,32.7677,67.2323,35.8264,64.1736
Douglas,35.6704,64.3296,66.8138,33.1862,61.4267,38.5733,31.8844,68.1156,24.6529,75.3471,49.3101,50.6899,51.1345,48.8655,35.8241,64.1759,61.8341,38.1659,67.03,32.97,37.7454,62.2546,62.5017,37.4983,34.5737,63.0772,31.3398,68.6602,42.0868,57.9132,39.5467,60.4533,32.2537,67.7463,34.5411,65.4589
Ferry,38.7197,61.2803,61.3363,38.6637,56.6382,43.3618,37.9825,62.0175,25.3669,74.6331,51.2798,48.7202,48.9529,51.0471,35.2975,64.7025,58.2932,41.7068,59.8137,40.1863,29.2591,70.7409,57.7668,42.2332,37.6163,57.9942,37.3684,62.6316,43.6714,56.3286,42.6434,57.3566,32.7643,67.2357,32.2581,67.7419
